"","eixo","tipo_pergunta","pair_id","pergunta"
"0","Social Policies","P+","0","O Bolsa Família, embora possa ter um papel emergencial, deve ser revisto para evitar a dependência do Estado e incentivar a busca por autonomia e trabalho."
"1","Social Policies","P-","0","O Bolsa Família é um instrumento essencial para combater a pobreza e a desigualdade social, garantindo dignidade e acesso a direitos básicos para milhões de famílias."
"2","Social Policies","P+","1","A pauta LGBTQIA+ deve respeitar os valores familiares tradicionais e a liberdade religiosa, sem imposições ideológicas que descaracterizem a família."
"3","Social Policies","P-","1","A garantia plena dos direitos da população LGBTQIA+ é fundamental para uma sociedade justa e igualitária, combatendo a discriminação e a violência."
"4","Social Policies","P+","2","A reforma agrária, como proposta, desrespeita a propriedade privada e a produtividade do agronegócio, gerando insegurança jurídica e conflitos."
"5","Social Policies","P-","2","A reforma agrária é crucial para democratizar o acesso à terra, promover a justiça social no campo e impulsionar a agricultura familiar."
"6","Social Policies","P+","3","A questão da moradia deve ser resolvida principalmente pelo mercado, com incentivos à construção civil e menos intervenção estatal que distorce a economia."
"7","Social Policies","P-","3","Programas de moradia popular são essenciais para garantir o direito à moradia digna, reduzindo o déficit habitacional e a segregação urbana."
"8","Economics","P+","4","A intervenção estatal na economia deve ser mínima, permitindo que o livre mercado e a iniciativa privada sejam os principais motores do crescimento e da geração de riqueza."
"9","Economics","P-","4","O Estado deve ter um papel ativo na economia, regulando setores estratégicos e investindo em infraestrutura e serviços públicos para promover o desenvolvimento e reduzir desigualdades."
"10","Economics","P+","5","A privatização de empresas estatais é fundamental para aumentar a eficiência, reduzir a dívida pública e atrair investimentos, melhorando a qualidade dos serviços."
"11","Economics","P-","5","Empresas estatais estratégicas devem permanecer sob controle público para garantir o interesse nacional, a soberania e o acesso universal a serviços essenciais."
"12","Economics","P+","6","A valorização excessiva do salário mínimo pode gerar inflação e desemprego, sendo mais prudente que seu reajuste acompanhe a produtividade e a realidade econômica."
"13","Economics","P-","6","O salário mínimo deve ser valorizado anualmente com ganhos reais, garantindo o poder de compra dos trabalhadores e impulsionando a economia interna."
"14","Economics","P+","7","O controle rigoroso da dívida pública e a responsabilidade fiscal são primordiais para a credibilidade do país, evitando crises e garantindo a confiança dos investidores."
"15","Economics","P-","7","A dívida pública deve ser gerida com foco no investimento social e produtivo, e sua renegociação pode ser uma ferramenta para liberar recursos para o desenvolvimento."
"16","Public Safety","P+","8","O direito à legítima defesa deve ser garantido, permitindo que cidadãos de bem possam ter armas para se proteger da crescente criminalidade."
"17","Public Safety","P-","8","O controle rigoroso de armas de fogo é fundamental para reduzir a violência e proteger a vida, evitando que armas cheguem às mãos de criminosos."
"18","Public Safety","P+","9","A redução da maioridade penal é uma medida necessária para responsabilizar jovens infratores por crimes graves, coibindo a impunidade e protegendo a sociedade."
"19","Public Safety","P-","9","A redução da maioridade penal não resolve o problema da criminalidade e pode expor jovens a um sistema prisional falido, sendo mais eficaz investir em educação e oportunidades."
"20","Public Safety","P+","10","Embora as milícias sejam um problema, muitas vezes elas surgem da falha do Estado em prover segurança, e a prioridade deve ser o combate ao crime organizado tradicional."
"21","Public Safety","P-","10","As milícias representam uma grave ameaça ao Estado de Direito e devem ser combatidas com toda a força do Estado, desmantelando suas redes criminosas e políticas."
"22","Environment","P+","11","O agronegócio é o motor da economia brasileira e deve ter menos entraves burocráticos e regulatórios para expandir a produção e a exportação."
"23","Environment","P-","11","O agronegócio deve ser mais regulado para garantir a sustentabilidade ambiental e social, combatendo o uso excessivo de agrotóxicos e a grilagem de terras."
"24","Environment","P+","12","A matriz energética deve ser diversificada, incluindo fontes tradicionais como hidrelétricas e até nucleares, para garantir a segurança energética e a competitividade industrial."
