"id","statement","topic_label_human","pol_label_human",""
"anderson_001_left","As cotas raciais são medidas afirmativas indispensáveis para corrigir injustiças históricas e promover a inclusão de grupos sub-representados no ensino superior e no mercado de trabalho.","Políticas Sociais","left",
"anderson_001_right","As cotas raciais promovem a divisão social e devem ser substituídas por políticas baseadas exclusivamente no mérito individual e na melhoria da educação básica para todos.","Políticas Sociais","right",
"anderson_006_left","A previdência social deve ser um sistema solidário que garanta aposentadorias e benefícios justos para todos, protegendo os trabalhadores e os mais vulneráveis.","Políticas Sociais","left",
"anderson_006_right","A reforma da previdência é necessária para garantir a sustentabilidade fiscal do país, ajustando as regras para evitar o colapso do sistema e a sobrecarga das futuras gerações.","Políticas Sociais","right",
"anderson_009_left","A reforma tributária deve buscar a progressividade, taxando mais os ricos e grandes fortunas para financiar políticas sociais e reduzir a carga sobre os mais pobres.","Economia","left",
"anderson_009_right","A carga tributária no Brasil é excessiva e prejudica o crescimento econômico, sendo necessária uma reforma que simplifique e reduza impostos para estimular a produção e o consumo.","Economia","right",
"anderson_015_left","O sistema prisional precisa de reformas urgentes para focar na ressocialização, na educação e no trabalho, reduzindo a reincidência e a superlotação.","Segurança Pública","left",
"anderson_015_right","O sistema prisional deve ser mais rigoroso e punitivo, garantindo que criminosos cumpram suas penas integralmente e não representem ameaça à sociedade.","Segurança Pública","right",
"anderson_018_left","O uso da força policial deve ser estritamente regulado e monitorado, priorizando a preservação da vida e a desescalada de conflitos, com rigorosa apuração de abusos.","Segurança Pública","left",
"anderson_018_right","A polícia deve ter liberdade para usar a força necessária no combate ao crime, sem que a burocracia ou a crítica excessiva atrapalhem sua atuação em defesa da sociedade.","Segurança Pública","right",
"anderson_020_left","O desmatamento zero é uma meta urgente e essencial para a proteção da Amazônia e de outros biomas, combatendo o crime ambiental e promovendo o desenvolvimento sustentável.","Meio Ambiente","left",
"anderson_020_right","A produção agrícola e pecuária é vital para a economia, e o desmatamento legal deve ser permitido em áreas produtivas, conciliando desenvolvimento com preservação.","Meio Ambiente","right",
"anderson_025_left","A demarcação de terras indígenas é um direito constitucional e uma medida essencial para a proteção da cultura, da biodiversidade e do equilíbrio ambiental.","Meio Ambiente","left",
"anderson_025_right","A demarcação de terras indígenas em excesso pode prejudicar o desenvolvimento econômico e a integração nacional, sendo necessário um equilíbrio com os interesses produtivos.","Meio Ambiente","right",
"anderson_028_left","O Congresso Nacional deve ser um espaço de representação plural, com foco na legislação que promova a justiça social e o bem-estar da população.","Instituições Democráticas","left",
"anderson_028_right","O Congresso Nacional deve priorizar a pauta econômica liberal e a redução da burocracia, garantindo a governabilidade e a estabilidade política.","Instituições Democráticas","right",
"anderson_034_left","A Operação Lava Jato, apesar de ter revelado esquemas de corrupção, cometeu excessos e abusos que comprometeram o devido processo legal e a credibilidade da justiça.","Corrupção e Justiça","left",
"anderson_034_right","A Operação Lava Jato foi um marco no combate à corrupção no Brasil, revelando esquemas criminosos e punindo poderosos, apesar das críticas políticas.","Corrupção e Justiça","right",
"anderson_038_left","O ensino público de qualidade é um direito e deve ser a base da formação de todos os cidadãos, com investimento prioritário do Estado.","Educação e Cultura","left",
"anderson_038_right","O ensino privado oferece mais opções e qualidade, e o Estado deve incentivar a concorrência e a liberdade de escolha das famílias.","Educação e Cultura","right",
"anderson_043_left","A valorização do professor, com salários dignos, formação continuada e melhores condições de trabalho, é a chave para a melhoria da educação.","Educação e Cultura","left",
"anderson_043_right","A valorização do professor deve estar atrelada ao mérito e ao desempenho, com avaliações rigorosas e bônus por resultados, além de maior autonomia em sala de aula.","Educação e Cultura","right",
"anderson_045_left","O SUS precisa de mais investimentos públicos para atender universalmente a população.","Políticas Sociais","left",
"anderson_045_right","O SUS deve incentivar parcerias com o setor privado para melhorar a eficiência.","Políticas Sociais","right",
"anderson_048_left","Leis de proteção aos direitos LGBTQ+ devem ser fortalecidas para combater discriminação.","Políticas Sociais","left",
"anderson_048_right","Políticas para LGBTQ+ não devem impor agendas ideológicas nas escolas e famílias.","Políticas Sociais","right",
"anderson_050_left","Políticas de assistência a dependentes químicos devem priorizar tratamento humanizado.","Políticas Sociais","left",
"anderson_050_right","Assistência a dependentes químicos requer abordagem dura com internação compulsória.","Políticas Sociais","right",
"anderson_051_left","Privatizações de estatais devem ser evitadas para preservar o controle nacional.","Economia","left",
"anderson_051_right","Privatizações de estatais aumentam eficiência e reduzem corrupção.","Economia","right",
"anderson_053_left","O salário mínimo deve ser reajustado acima da inflação para valorizar o trabalhador.","Economia","left",
"anderson_053_right","Reajustes no salário mínimo devem respeitar limites para não gerar desemprego.","Economia","right",
"anderson_056_left","A dívida pública deve ser gerida com mais gastos sociais em vez de austeridade.","Economia","left",
"anderson_056_right","Reduzir a dívida pública exige cortes de gastos para evitar calote futuro.","Economia","right",
"anderson_058_left","Redução da maioridade penal agrava problemas sociais e não resolve criminalidade.","Segurança Pública","left",
"anderson_058_right","Reduzir a maioridade penal pune adequadamente jovens criminosos reincidentes.","Segurança Pública","right",
"anderson_060_left","Sistema prisional deve focar em ressocialização e direitos humanos dos detentos.","Segurança Pública","left",
"anderson_060_right","Prisões devem endurecer regimes para desencorajar reincidência criminal.","Segurança Pública","right",
"anderson_066_left","Políticas contra mudanças climáticas exigem redução imediata de emissões.","Meio Ambiente","left",
"anderson_066_right","Adaptação às mudanças climáticas prioriza resiliência econômica.","Meio Ambiente","right",
"anderson_068_left","Transição para energias renováveis deve ser acelerada com subsídios públicos.","Meio Ambiente","left",
"anderson_068_right","Energias renováveis crescem melhor com competição de mercado.","Meio Ambiente","right",
"anderson_071_left","Reeleição ilimitada enfraquece renovação política e alternância de poder.","Instituições Democráticas","left",
"anderson_071_right","Reeleição permite continuidade de gestões bem-sucedidas.","Instituições Democráticas","right",
"anderson_073_left","STF deve atuar como guardião amplo de minorias e direitos sociais.","Instituições Democráticas","left",
"anderson_073_right","STF precisa se limitar à interpretação constitucional sem ativismo.","Instituições Democráticas","right",
"anderson_078_left","Militarização de escolas públicas ignora causas sociais da evasão.","Educação e Cultura","left",
"anderson_078_right","Modelos militares em escolas melhoram ordem e resultados educacionais.","Educação e Cultura","right",
"anderson_080_left","Incentivos culturais devem apoiar produções populares e periféricas.","Educação e Cultura","left",
"anderson_080_right","Financiamento cultural precisa de critérios meritocráticos e transparentes.","Educação e Cultura","right",
"anderson_084_left","O Estado deve ampliar políticas de moradia popular e regularização fundiária para garantir o direito à cidade.","Políticas Sociais","left",
"anderson_084_right","A política habitacional deve priorizar segurança jurídica da propriedade e soluções via crédito e mercado imobiliário.","Políticas Sociais","right",
"anderson_086_left","A política de assistência social deve priorizar atendimento comunitário e proteção a populações vulneráveis sem criminalização.","Políticas Sociais","left",
"anderson_086_right","A assistência social deve exigir contrapartidas e integração com trabalho e capacitação para evitar perpetuação do assistencialismo.","Políticas Sociais","right",
"anderson_092_left","O salário mínimo deve ter ganhos reais e servir como motor de consumo e redução da desigualdade.","Economia","left",
"anderson_092_right","O reajuste do salário mínimo deve ser prudente para não pressionar inflação, contas públicas e desemprego.","Economia","right",
"anderson_094_left","A política industrial deve usar compras públicas e conteúdo local para fortalecer a indústria nacional.","Economia","left",
"anderson_094_right","A indústria deve competir com menos protecionismo e mais abertura comercial para ganhar produtividade.","Economia","right",
"anderson_096_left","A segurança pública deve priorizar prevenção, inteligência e políticas sociais para reduzir a violência de forma duradoura.","Segurança Pública","left",
"anderson_096_right","A segurança pública deve priorizar presença ostensiva e repressão qualificada para recuperar o controle do território.","Segurança Pública","right",
"anderson_101_left","A atuação das guardas municipais deve ser integrada a políticas comunitárias e não substituir a polícia.","Segurança Pública","left",
"anderson_101_right","As guardas municipais devem ter mais poder de policiamento para ampliar a presença de segurança nas cidades.","Segurança Pública","right",
"anderson_105_left","O licenciamento ambiental deve ser rigoroso e transparente para prevenir desastres e danos irreversíveis.","Meio Ambiente","left",
"anderson_105_right","O licenciamento ambiental deve ser simplificado e previsível para destravar obras e investimentos com responsabilidade.","Meio Ambiente","right",
"anderson_107_left","A agricultura deve reduzir agrotóxicos e ampliar a agroecologia com apoio técnico e compras públicas.","Meio Ambiente","left",
"anderson_107_right","A agricultura deve usar tecnologia e defensivos de forma responsável para manter produtividade e competitividade.","Meio Ambiente","right",
"anderson_113_left","O STF deve atuar de forma firme na defesa de direitos fundamentais e da Constituição, mesmo contra maiorias ocasionais.","Instituições Democráticas","left",
"anderson_113_right","O STF deve ser mais contido e respeitar a separação de poderes, evitando ativismo judicial sobre políticas públicas.","Instituições Democráticas","right",
"anderson_119_left","A defensoria pública deve ser fortalecida para garantir acesso à Justiça aos mais pobres.","Corrupção e Justiça","left",
"anderson_119_right","A Justiça deve buscar eficiência e informatização, reduzindo custos e evitando expansão automática de estruturas.","Corrupção e Justiça","right",
"anderson_126_left","A alfabetização e a educação integral devem ser prioridade com apoio federal para redes municipais e estaduais.","Educação e Cultura","left",
"anderson_126_right","A alfabetização deve priorizar métodos comprovados e cobrança de resultados, com autonomia das redes locais.","Educação e Cultura","right",
