"","eixo","tipo_pergunta","pair_id","pergunta"
"0","Social Policies","P+","0","O SUS precisa de maior eficiência na gestão e deve ser complementado por iniciativas privadas para desafogar o sistema e oferecer mais opções aos cidadãos."
"1","Social Policies","P-","0","O Sistema Único de Saúde (SUS) deve ser fortalecido e financiado adequadamente como um direito universal, garantindo atendimento de qualidade para todos os cidadãos."
"2","Economics","P+","1","A desregulamentação do mercado é essencial para reduzir a burocracia, estimular a inovação e atrair investimentos, confiando na autorregulação e na concorrência."
"3","Economics","P-","1","A regulação estatal é crucial para proteger os consumidores, o meio ambiente e os trabalhadores de abusos do mercado e garantir a concorrência leal."
"4","Public Safety","P+","2","A polícia precisa de mais autonomia, recursos e poder de fogo para combater o crime com rigor, garantindo a ordem e a segurança da população."
"5","Public Safety","P-","2","A polícia deve atuar com foco na inteligência, na prevenção e na proximidade com a comunidade, respeitando os direitos humanos e combatendo as causas sociais da criminalidade."
"6","Public Safety","P+","3","A guerra às drogas deve ser intensificada, com repressão rigorosa ao tráfico e à produção, mantendo a criminalização do uso para desestimular o consumo."
"7","Public Safety","P-","3","A política de drogas deve focar na saúde pública, na redução de danos e na descriminalização do usuário, combatendo o tráfico com inteligência e descapitalização."
"8","Environment","P+","4","O licenciamento ambiental é excessivamente burocrático e lento, travando investimentos e o desenvolvimento econômico, necessitando de simplificação e agilidade."
"9","Environment","P-","4","O licenciamento ambiental deve ser rigoroso e técnico, garantindo a proteção dos ecossistemas e a participação social em projetos de grande impacto."
"10","Democratic Institutions","P+","5","A democracia representativa é o modelo mais adequado, e a participação popular direta deve ser limitada para evitar a instabilidade e a demagogia."
"11","Democratic Institutions","P-","5","A participação popular em conselhos, plebiscitos e referendos é essencial para aprofundar a democracia e garantir que as decisões políticas reflitam os anseios da sociedade."
"12","Education and Culture","P+","6","O financiamento da educação deve buscar maior eficiência na gestão dos recursos existentes e incentivar a participação da iniciativa privada."
"13","Education and Culture","P-","6","O investimento público em educação deve ser ampliado e priorizado, garantindo acesso universal e qualidade em todos os níveis de ensino."
"14","Education and Culture","P+","7","A gestão de museus e do patrimônio cultural pode ser mais eficiente com a participação da iniciativa privada e a busca por fontes de receita próprias."
"15","Education and Culture","P-","7","Museus e o patrimônio cultural devem ser protegidos e financiados pelo Estado, garantindo a preservação da memória e a difusão do conhecimento para todos."
"16","Social Policies","P+","8","Programas assistencialistas como o Bolsa Família devem priorizar capacitação para o trabalho."
"17","Social Policies","P-","8","O Bolsa Família deve ser ampliado para garantir renda mínima às famílias pobres."
"18","Social Policies","P+","9","Cotas raciais devem ser substituídas por critérios socioeconômicos para maior justiça."
"19","Social Policies","P-","9","Cotas raciais em universidades são fundamentais para reparar desigualdades históricas."
